,type,temperature,min_temp,humidity,visibility,sunrise,feels_like,time_updated,description,max_temp,wind_speed,clouds,sunset
0,Clouds,11.91,11.53,81,10000,1708414464,11.27,2024-02-20 16:05:05,few clouds,12.36,9.77,20,1708451020
1,Clouds,11.96,11.53,80,10000,1708414464,11.3,2024-02-20 16:10:05,few clouds,12.36,9.77,20,1708451020
2,Clouds,11.83,11.05,81,10000,1708414464,11.18,2024-02-20 16:15:05,few clouds,12.36,9.77,20,1708451020
3,Clouds,11.96,11.53,80,10000,1708414464,11.3,2024-02-20 16:20:05,few clouds,12.36,9.77,20,1708451020
4,Clouds,11.83,11.05,81,10000,1708414464,11.18,2024-02-20 16:25:05,few clouds,12.36,9.77,20,1708451020
5,Clouds,11.67,10.88,79,10000,1708414464,10.96,2024-02-20 16:30:06,few clouds,12.36,8.23,20,1708451020
6,Clouds,11.67,10.88,79,10000,1708414464,10.96,2024-02-20 16:35:04,few clouds,12.36,8.23,20,1708451020
7,Clouds,11.29,10.88,81,10000,1708414464,10.59,2024-02-20 16:40:04,few clouds,12.21,8.23,20,1708451020
8,Clouds,11.29,10.88,81,10000,1708414464,10.59,2024-02-20 16:45:04,few clouds,12.21,8.23,20,1708451020
9,Clouds,11.08,10.49,81,10000,1708414464,10.36,2024-02-20 16:50:04,scattered clouds,11.65,6.71,40,1708451020
10,Clouds,11.1,10.49,79,10000,1708414464,10.33,2024-02-20 16:55:04,scattered clouds,11.81,6.71,40,1708451020
11,Clouds,11.1,10.49,79,10000,1708414464,10.33,2024-02-20 17:00:05,scattered clouds,11.81,6.71,40,1708451020
12,Clouds,11.08,10.49,77,10000,1708414464,10.25,2024-02-20 17:05:05,scattered clouds,11.81,6.71,40,1708451020
13,Clouds,11.05,10.45,77,10000,1708414462,10.22,2024-02-20 17:10:05,scattered clouds,11.77,6.17,40,1708451020
14,Clouds,11.08,10.49,78,10000,1708414464,10.28,2024-02-20 17:15:05,scattered clouds,11.81,6.71,40,1708451020
15,Clouds,10.59,9.93,78,10000,1708414464,9.74,2024-02-20 17:20:05,scattered clouds,11.25,6.71,40,1708451020
16,Clouds,10.55,9.93,78,10000,1708414464,9.7,2024-02-20 17:25:05,scattered clouds,11.25,6.71,40,1708451020
17,Clouds,10.59,9.93,78,10000,1708414464,9.74,2024-02-20 17:30:05,scattered clouds,11.25,6.71,40,1708451020
18,Clouds,10.55,9.93,78,10000,1708414464,9.7,2024-02-20 17:35:05,scattered clouds,11.25,6.71,40,1708451020
19,Clouds,10.27,9.93,80,10000,1708414464,9.44,2024-02-20 17:40:05,scattered clouds,10.88,5.66,40,1708451020
20,Clouds,10.28,9.77,79,10000,1708414464,9.43,2024-02-20 17:45:05,scattered clouds,10.7,5.66,40,1708451020
21,Clouds,10.28,9.93,79,10000,1708414464,9.43,2024-02-20 17:50:05,scattered clouds,10.7,5.66,40,1708451020
22,Clouds,10.02,9.37,79,10000,1708414464,9.14,2024-02-20 17:55:05,scattered clouds,10.7,5.66,40,1708451020
23,Clouds,10.01,9.37,79,10000,1708414464,9.13,2024-02-20 18:00:05,scattered clouds,10.7,5.66,40,1708451020
24,Clouds,10.02,9.37,79,10000,1708414464,9.14,2024-02-20 18:05:05,scattered clouds,10.7,5.66,40,1708451020
25,Clouds,9.97,9.37,80,10000,1708414464,7.96,2024-02-20 18:10:04,scattered clouds,10.7,4.02,40,1708451020
26,Clouds,9.97,9.37,80,10000,1708414464,8.15,2024-02-20 18:15:05,scattered clouds,10.7,3.6,40,1708451020
27,Clouds,9.97,9.37,80,10000,1708414464,8.15,2024-02-20 18:20:05,scattered clouds,10.7,3.6,40,1708451020
28,Clouds,9.55,9.07,80,10000,1708414464,7.65,2024-02-20 18:25:05,scattered clouds,10.14,3.58,40,1708451020
29,Clouds,9.54,9.07,80,10000,1708414464,7.64,2024-02-20 18:30:06,scattered clouds,10.14,3.58,40,1708451020
30,Clouds,9.54,9.07,80,10000,1708414464,7.64,2024-02-20 18:35:05,scattered clouds,10.14,3.58,40,1708451020
31,Clouds,9.41,8.53,80,10000,1708414464,6.8,2024-02-20 18:40:05,scattered clouds,10.14,5.14,40,1708451020
32,Clear,9.45,9.07,79,10000,1708414464,7.78,2024-02-20 18:45:05,clear sky,10.14,3.13,0,1708451020
33,Clear,9.45,9.07,79,10000,1708414464,7.78,2024-02-20 18:50:05,clear sky,10.14,3.13,0,1708451020
34,Clear,9.29,8.53,80,10000,1708414464,6.65,2024-02-20 18:55:05,clear sky,10.14,5.14,0,1708451020
35,Clear,9.35,8.53,80,10000,1708414464,6.72,2024-02-20 19:00:06,clear sky,10.14,5.14,0,1708451020
36,Clear,9.29,8.53,80,10000,1708414464,6.65,2024-02-20 19:05:05,clear sky,10.14,5.14,0,1708451020
37,Clear,9.19,8.82,81,10000,1708414464,7.46,2024-02-20 19:10:05,clear sky,9.65,3.13,0,1708451020
38,Clear,9.18,8.66,81,10000,1708414464,7.8,2024-02-20 19:15:05,clear sky,9.65,2.57,0,1708451020
39,Clouds,9.33,8.66,80,10000,1708414464,7.65,2024-02-20 19:20:05,broken clouds,10.14,3.09,75,1708451020
40,Clouds,9.07,8.32,80,10000,1708414464,7.34,2024-02-20 19:25:05,broken clouds,9.58,3.09,75,1708451020
41,Clouds,9.07,8.32,80,10000,1708414464,7.34,2024-02-20 19:30:05,broken clouds,9.58,3.09,75,1708451020
42,Clouds,9.0,8.27,80,10000,1708414463,7.26,2024-02-20 19:35:05,broken clouds,9.58,3.09,75,1708451020
43,Clouds,8.71,7.21,81,10000,1708414464,5.92,2024-02-20 19:40:05,broken clouds,9.36,5.14,75,1708451020
44,Clear,8.46,7.21,82,10000,1708414464,5.61,2024-02-20 19:45:05,clear sky,9.1,5.14,0,1708451020
45,Clear,8.35,7.53,82,10000,1708414464,5.47,2024-02-20 19:50:05,clear sky,9.03,5.14,0,1708451020
46,Clear,8.35,7.53,82,10000,1708414464,5.47,2024-02-20 19:55:05,clear sky,9.03,5.14,0,1708451020
47,Clear,8.19,7.53,82,10000,1708414464,5.27,2024-02-20 20:00:05,clear sky,8.65,5.14,0,1708451020
48,Clear,8.19,7.53,82,10000,1708414464,5.27,2024-02-20 20:05:05,clear sky,8.65,5.14,0,1708451020
49,Clear,8.19,7.53,82,10000,1708414464,5.27,2024-02-20 20:10:05,clear sky,8.65,5.14,0,1708451020
50,Clear,8.07,7.71,82,10000,1708414464,5.57,2024-02-20 20:15:05,clear sky,8.54,4.12,0,1708451020
51,Clear,8.07,7.71,82,10000,1708414464,5.57,2024-02-20 20:20:05,clear sky,8.54,4.12,0,1708451020
52,Clear,7.73,6.53,83,10000,1708414464,6.08,2024-02-20 20:25:05,clear sky,8.36,2.57,0,1708451020
53,Clear,7.63,6.53,83,10000,1708414463,5.96,2024-02-20 20:30:05,clear sky,8.36,2.57,0,1708451020
54,Clear,7.43,6.53,83,10000,1708414464,5.73,2024-02-20 20:35:05,clear sky,8.36,2.57,0,1708451020
55,Clear,7.43,6.53,83,10000,1708414464,5.73,2024-02-20 20:40:05,clear sky,8.36,2.57,0,1708451020
56,Clear,7.43,6.53,83,10000,1708414464,5.73,2024-02-20 20:45:05,clear sky,8.36,2.57,0,1708451020
57,Clear,7.34,6.53,83,10000,1708414464,5.62,2024-02-20 20:50:05,clear sky,8.36,2.57,0,1708451020
58,Clear,6.95,6.29,84,10000,1708414464,5.16,2024-02-20 20:55:05,clear sky,7.71,2.57,0,1708451020
59,Clear,6.95,6.29,84,10000,1708414464,5.16,2024-02-20 21:00:05,clear sky,7.71,2.57,0,1708451020
60,Clear,6.89,6.29,84,10000,1708414464,5.51,2024-02-20 21:05:05,clear sky,7.71,2.06,0,1708451020
61,Clear,6.89,6.29,84,10000,1708414464,5.51,2024-02-20 21:10:05,clear sky,7.71,2.06,0,1708451020
62,Clear,6.89,6.29,84,10000,1708414464,5.51,2024-02-20 21:15:05,clear sky,7.71,2.06,0,1708451020
63,Clouds,6.47,5.32,87,10000,1708414464,3.6,2024-02-20 21:20:04,few clouds,7.55,4.12,20,1708451020
64,Clouds,6.47,5.32,87,10000,1708414464,3.6,2024-02-20 21:25:04,few clouds,7.55,4.12,20,1708451020
65,Clouds,6.17,5.32,87,10000,1708414464,3.23,2024-02-20 21:30:05,few clouds,7.55,4.12,20,1708451020
66,Clouds,6.09,5.18,88,10000,1708414464,3.13,2024-02-20 21:35:04,few clouds,7.55,4.12,20,1708451020
67,Clouds,6.09,5.18,88,10000,1708414464,3.13,2024-02-20 21:40:04,few clouds,7.55,4.12,20,1708451020
68,Clouds,6.09,5.18,88,10000,1708414464,3.13,2024-02-20 21:45:04,few clouds,7.55,4.12,20,1708451020
69,Clouds,6.31,5.18,86,10000,1708414464,3.4,2024-02-20 21:50:04,few clouds,8.11,4.12,20,1708451020
70,Clouds,6.31,5.18,86,10000,1708414464,3.4,2024-02-20 21:55:05,few clouds,8.11,4.12,20,1708451020
71,Clouds,6.17,5.18,86,10000,1708414464,3.23,2024-02-20 22:00:07,few clouds,7.16,4.12,20,1708451020
