,date,ind,rain,ind.1,temp,ind.2,wetb,dewpt,vappr,rhum,msl
161111,2022-01-01 00:00:00,0,0.0,0,13.1,0,11.4,9.8,12.1,80,1007.3
161112,2022-01-01 01:00:00,0,0.0,0,13.9,0,11.2,8.5,11.1,70,1005.8
161113,2022-01-01 02:00:00,0,0.0,0,14.0,0,11.0,8.1,10.8,67,1005.0
161114,2022-01-01 03:00:00,0,0.0,0,14.6,0,11.4,8.4,11.0,66,1003.9
161115,2022-01-01 04:00:00,0,0.0,0,14.9,0,12.1,9.5,11.9,70,1002.7
161116,2022-01-01 05:00:00,0,0.1,0,14.3,0,12.5,10.8,13.0,79,1001.7
161117,2022-01-01 06:00:00,0,0.0,0,14.6,0,12.3,10.3,12.5,75,1001.1
161118,2022-01-01 07:00:00,0,0.0,0,14.5,0,12.3,10.2,12.5,75,1001.8
161119,2022-01-01 08:00:00,0,0.0,0,13.2,0,10.8,8.3,10.9,72,1003.1
161120,2022-01-01 09:00:00,0,0.0,0,12.5,0,10.0,7.4,10.3,71,1004.3
161121,2022-01-01 10:00:00,0,0.0,0,12.4,0,10.2,7.9,10.6,73,1004.7
161122,2022-01-01 11:00:00,0,0.0,0,12.9,0,10.6,8.4,11.0,74,1005.2
161123,2022-01-01 12:00:00,0,0.0,0,13.1,0,10.5,8.0,10.7,71,1005.0
161124,2022-01-01 13:00:00,0,0.0,0,13.2,0,10.6,8.0,10.7,70,1005.0
161125,2022-01-01 14:00:00,0,0.0,0,13.1,0,10.4,7.7,10.5,69,1004.6
161126,2022-01-01 15:00:00,0,0.0,0,12.7,0,10.3,7.9,10.6,72,1004.5
161127,2022-01-01 16:00:00,0,0.0,0,12.4,0,10.3,8.2,10.9,75,1004.6
161128,2022-01-01 17:00:00,0,0.0,0,12.3,0,10.2,8.1,10.8,75,1005.0
161129,2022-01-01 18:00:00,0,0.0,0,12.1,0,10.1,8.1,10.8,76,1005.1
161130,2022-01-01 19:00:00,0,0.2,0,11.0,0,9.5,7.8,10.6,80,1005.5
161131,2022-01-01 20:00:00,0,0.0,0,10.5,0,8.9,7.1,10.1,79,1005.5
161132,2022-01-01 21:00:00,0,0.0,0,10.2,0,8.7,6.9,10.0,80,1006.1
161133,2022-01-01 22:00:00,0,0.0,0,9.6,0,8.4,7.0,10.0,84,1006.2
161134,2022-01-01 23:00:00,0,0.0,0,10.1,0,8.8,7.4,10.3,83,1005.7
161135,2022-01-02 00:00:00,0,0.0,0,9.8,0,8.6,7.2,10.2,84,1005.5
161136,2022-01-02 01:00:00,0,0.0,0,9.6,0,8.3,6.9,9.9,83,1004.8
161137,2022-01-02 02:00:00,0,0.0,0,9.5,0,8.4,7.0,10.0,84,1003.8
161138,2022-01-02 03:00:00,0,0.0,0,9.1,0,8.0,6.6,9.7,84,1003.6
161139,2022-01-02 04:00:00,0,0.0,0,9.3,0,8.0,6.4,9.6,82,1003.0
161140,2022-01-02 05:00:00,0,0.0,0,9.3,0,7.9,6.1,9.4,80,1002.6
161141,2022-01-02 06:00:00,0,0.0,0,9.3,0,7.8,5.9,9.3,79,1002.0
161142,2022-01-02 07:00:00,0,0.0,0,9.5,0,7.8,5.8,9.2,77,1001.9
161143,2022-01-02 08:00:00,0,0.0,0,9.6,0,7.9,5.9,9.3,77,1001.8
161144,2022-01-02 09:00:00,0,0.0,0,9.7,0,8.1,6.2,9.5,78,1001.8
161145,2022-01-02 10:00:00,0,0.0,0,10.5,0,8.6,6.3,9.6,75,1001.1
161146,2022-01-02 11:00:00,0,0.0,0,10.2,0,7.9,5.1,8.8,70,1001.1
161147,2022-01-02 12:00:00,0,0.0,0,10.3,0,8.0,5.3,8.9,71,1000.7
161148,2022-01-02 13:00:00,0,0.0,0,10.7,0,8.2,5.3,8.9,69,1000.3
161149,2022-01-02 14:00:00,0,0.0,0,10.7,0,8.4,5.7,9.2,71,1000.1
161150,2022-01-02 15:00:00,0,0.1,0,9.9,0,8.2,6.4,9.6,78,1000.7
161151,2022-01-02 16:00:00,0,0.0,0,9.6,0,7.7,5.4,8.9,74,1000.8
161152,2022-01-02 17:00:00,0,0.0,0,9.4,0,7.6,5.3,8.9,75,1000.9
161153,2022-01-02 18:00:00,0,0.0,0,9.6,0,7.6,5.3,8.9,74,1001.2
161154,2022-01-02 19:00:00,0,0.0,0,9.3,0,7.3,4.8,8.6,73,1001.6
161155,2022-01-02 20:00:00,0,0.0,0,9.1,0,7.2,4.8,8.6,74,1001.6
